id,name,lat,lon
Alabama,Alabama,32.7794,-86.8287
Alaska,Alaska,62.46751,-145.456457
Arizona,Arizona,34.2744,-111.6602
Arkansas,Arkansas,34.8938,-92.4426
California,California,37.1841,-119.4696
Colorado,Colorado,38.9972,-105.5478
Connecticut,Connecticut,41.6219,-72.7273
Delaware,Delaware,38.9896,-75.505
DistrictOfColumbia,DistrictOfColumbia,38.9101,-77.0147
Florida,Florida,28.6305,-82.4497
Georgia,Georgia,32.6415,-83.4426
Hawaii,Hawaii,20.813579,-156.485423
Idaho,Idaho,44.3509,-114.613
Illinois,Illinois,40.0417,-89.1965
Indiana,Indiana,39.8942,-86.2816
Iowa,Iowa,42.0751,-93.496
Kansas,Kansas,38.4937,-98.3804
Kentucky,Kentucky,37.5347,-85.3021
Louisiana,Louisiana,31.0689,-91.9968
Maine,Maine,45.3695,-69.2428
Maryland,Maryland,39.055,-76.7909
Massachusetts,Massachusetts,42.2596,-71.8083
Michigan,Michigan,44.3467,-85.4102
Minnesota,Minnesota,46.2807,-94.3053
Mississippi,Mississippi,32.7364,-89.6678
Missouri,Missouri,38.3566,-92.458
Montana,Montana,47.0527,-109.6333
Nebraska,Nebraska,41.5378,-99.7951
Nevada,Nevada,39.491038,-117.067442
NewHampshire,NewHampshire,43.6805,-71.5811
NewJersey,NewJersey,40.1907,-74.6728
NewMexico,NewMexico,34.4071,-106.1126
NewYork,NewYork,42.9538,-75.5268
NorthCarolina,NorthCarolina,35.5557,-79.3877
NorthDakota,NorthDakota,47.4501,-100.4659
Ohio,Ohio,40.2862,-82.7937
Oklahoma,Oklahoma,35.5889,-97.4943
Oregon,Oregon,43.9336,-120.5583
Pennsylvania,Pennsylvania,40.8781,-77.7996
RhodeIsland,RhodeIsland,41.6762,-71.5562
SouthCarolina,SouthCarolina,33.9169,-80.8964
SouthDakota,SouthDakota,44.4443,-100.2263
Tennessee,Tennessee,35.858,-86.3505
Texas,Texas,31.4757,-99.3312
Utah,Utah,39.3055,-111.6703
Vermont,Vermont,44.0687,-72.6658
Virginia,Virginia,37.5215,-78.8537
Washington,Washington,47.3826,-120.4472
WestVirginia,WestVirginia,38.6409,-80.6227
Wisconsin,Wisconsin,44.6243,-89.9941
Wyoming,Wyoming,42.9957,-107.5512
